SKU,name,URL to product,price,Retail Price,URL to image,URL to thumbnail image,Commission,Category,Subcategory,Description,SearchTerms,Status,MerchantID,Custom 1,Custom 2,Custom 3,Custom 4,Custom 5,StoreID,Manufacturer,PartNumber,MerchantCategory,MerchantSubCategory,ShortDescription,ISBN,UPC,CrossSell,MerchantGroup,MerchantSubgroup,CompatibleWith,CompareTo,QuantityDiscount,Bestseller,AddToCartURL,ReviewsRSSURL,Option1,Option2,Option3,Option4,Option5,ReservedForFutureUse1,ReservedForFutureUse2,ReservedForFutureUse3,ReservedForFutureUse4,ReservedForFutureUse5,ReservedForFutureUse6,ReservedForFutureUse7,ReservedForFutureUse8,ReservedForFutureUse9
AMI3012,15 inch Playing Card Holder,http://www.wrightstuff.biz/15incaho.html,9.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/15incaho.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/15incaho.jpg,,12,183,"People with pain and, or, limited use of their hands will find using this 15 inch Playing Card Holder easier than trying to hold multiple cards in one hand. The unique slot design allows cards to be easily added or removed. The extended front of the holder provides a convenient place to keep pencils while playing card games. Playing Card Holder 15 inch Features: People with pain and/or limited use of their hands will find using this holder much easier than trying to hold multiple cards in one hand. The slot is designed so that cards can be easily added or removed. Also holds recipes or memos. Pencils and small coins fit on the extended front of the holder. Playing Card Holder 15 inch Specifications: Measures 2 x 1 3/8 x 15"" (5.1 x 3.5 x 38 cm).",,instock,942,,,,,,1,"The Wright Stuff, Inc.",712520015,Around the House,Playing Cards and Card Holders,Easier to hold than multiple cards!,,,,Playing Card Holders,,,,,,,,,,,,,,,,,,,,,
ADM177727,Ergonomic Reacher with Rotating Claw 27 inch,http://www.wrightstuff.biz/27inch.html,16.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/27inch.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/27inch.jpg,,12,183,"The Ergonomic Reacher with Rotating Claw is designed to be easy to use. The reacher is lightweight and features two rubber cushion tips. The ""claw"" opening rotates for both horizontal and vertical use. An attached magnet on the handle end will pick up light metal objects. Ergonomic Reacher with Rotating Claw Features: Ergonomically designed trigger and handle make it easy to use. The ""Claw"" rotates for horizontal and vertical use. Ergonomic Reacher with Rotating Claw Specifications: Lightweight - 4 oz. to 6 oz. Rubber cushion tips. 2 1/2 inch jaw opening. Length - 27 inches.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",41298017783,Around the House,Reaching Aids,"The ""claw"" rotates for horizontal & vertical use.",,,,Ergonomic Reacher with Rotating Claw,,,,,,,,,,,,,,,,,,,,,
CAC20401A,Action Polymer Heel and Elbow Pads 1/4 inch,http://www.wrightstuff.biz/14inthheande.html,69.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/14inthheande.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/14inthheande.jpg,,12,183,"Action Polymer Heel and Elbow Pads 1/4 inch is recommended for people at risk or diagnosed with compromised skin disorders. Pad allows clients taking medication that affects skin integrity or persons who are prone to skin tears or abrasions, to continue daily activities or to sleep comfortably. For use on either heels or elbows. Sold as a pair. Action Polymer Heel and Elbow Pads 1/4 inch Features: Contours to shape of elbow or heel. Won't rub or irritate. Fits snuggly and comfortably while allowing one to move freely. Action Polymer Heel and Elbow Pads 1/4 inch Specifications: Sold as a pair. Non returnable if packaging is opened.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",111352,For Your Comfort,Pillows and Bed Positioning Aids,Recommended for people with skin disorders.,,,,Foot and Heel Positioning Aids,,,,,,,,,,,,,,,,,,,,,
CIB,Adult Terry Cloth Bibs,http://www.wrightstuff.biz/adultbib.html,8.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/adultbib.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/adultbib.jpg,,12,183,"These Adult Terry Cloth Bibs are made of absorbent, poly cotton terry cloth fused to a waterproof vinyl backing. These leakproof vinyl-backed terry cloth adult bibs are reinforced with cotton binding. The vinyl backing prevents food and fluids from leaking through, helping to keep clothing dry and clean. Machine washable. Laundering instructions: Don't use chlorine bleach, dry bibs at 150 degrees or lower.Choose from neck opening closures with snaps or Velcro hook and loop. These Adult Terry Cloth Bibs measure 18 inches wide and 30 inches long. Generous size and extra long length provides better clothing protection. Adult Terry Cloth Bibs Features: Bigger size, and extra length. Better clothing protection. Made of soft absorbent polycotton terry. Full waterproof vinyl backing. Adult Terry Cloth Bibs Specifications: Measures 18 inches wide x 30 inches long. Choose from neck closure with snaps or Velcro (R)hook and loop. One per package.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",,In the Kitchen,Adult Bibs and Clothing Protectors,Extra long length adult bib provides better protection.,,,,,,,,,,,,,,,,,,,,,,,,,
ADM177718,Ergonomic Reacher with Rotating Claw 18 inch,http://www.wrightstuff.biz/18inch.html,14.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/18inch.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/18inch.jpg,,12,183,"The Ergonomic Reacher with Rotating Claw is designed to be easy to use. The reacher is lightweight and features two rubber cushion tips. The ""claw"" opening rotates for both horizontal and vertical use. An attached magnet on the handle end will pick up light metal objects. Ergonomic Reacher with Rotating Claw Features: Ergonomically designed trigger and handle make it easy to use. The ""Claw"" rotates for horizontal and vertical use. Ergonomic Reacher with Rotating Claw Specifications: Lightweight - 4 oz. to 6 oz. Rubber cushion tips. 2 1/2 inch jaw opening. Length - 18 inches.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",41298017776,Around the House,Reaching Aids,"The ""claw"" rotates for horizontal & vertical use.",,,,Ergonomic Reacher with Rotating Claw,,,,,,,,,,,,,,,,,,,,,
AAM300,32 inch Rainbow Reacher,http://www.wrightstuff.biz/26inrare.html,11.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/26inrare.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/26inrare.jpg,,12,183,"This 32 inch Rainbow Reacher is designed as a light duty and low cost reacher which anyone could use. Perfect for reaching into nooks and crannies, grabbing things you can't quite reach or don't want to touch. The flexible rubber cups and jaw grip small and large items up to 3 pounds. A handy hook and loop strap is included so your Rainbow Reacher will always be close at hand, in the kitchen, office, laundry room or work shop. Weighs only 4 oz. Fingers opens to 4.5 inches with non-latex cups. 32 inch Rainbow Reacher Features: Light duty and low cost reacher. Flexible rubber cups. Handy hook and loop strap is included. Perfect for reaching into any small place. 32 inch Rainbow Reacher Specifications: Holds items up to 3 lbs. Weighs 4 oz. Fingers open to 4.5 inches.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",,Around the House,Reaching Aids,Perfect for reaching into any small place!,,,,Rainbow Reachers,,,,,,,,,,,,,,,,,,,,,
CDCB2113,Armrest Pocket Bag,http://www.wrightstuff.biz/arpobag.html,19.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/arpobag.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/arpobag.jpg,,12,183,"Smaller size Armrest Pocket Bag fits on manual wheelchair armrests without interference with rear wheelchair wheels. This wheelchair armrest pouch is ideal for carrying keys, cell phones, wallets, and other small items. This armrest bag will fits both wheelchair armrests and scooter armrests. It attaches to most armrests using a unique ""soft to the skin"" mounting system, and can be mounted on inside or outside of armrest. Measures 11 inches wide x 5 inches long x 3 inches deep. Armrest Pocket Bag Features: Single pocket for easy storage. Holds keys, cell phones, wallets, pencils, small journal, pictures, pens, a small book, and other necessary items. Can be mounted on inside or outside of armrest. Armrest Pocket Bag Specifications: Measures: 11 x 5 x 3 inches. Material: water resistant fabric. Made: in USA. Color: black.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",111429,On The Move,Wheelchair Accessories,Will not rub rear wheelchair wheel.,,,,"Wheelchair Backpacks, Totes, Packs, Bags & Pouches",,,,,,,,,,,,,,,,,,,,,
CKE15211,Large Clear Plate Guard,http://www.wrightstuff.biz/clplgu.html,9.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/clplgu.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/clplgu.jpg,,12,183,"This Clear Polycarbonate Plate Guard prevents food from being pushed off the plate. The high rim makes scooping food onto utensils easier. Great for individuals with low vision, use of only one hand or with tremors to keep food on plate. The internal grove attaches to the rim of the plate. The 1 1/4 inch plastic rail is dishwasher safe. Large size fits onto plates with a diameter of 8 to 9 inches. Large Clear Plate Guard Features: Can be used discreetly while dining out. Makes scooping food onto utensils easier. Dishwasher safe! Large Clear Plate Guard Specifications: Fits: Plates with a diameter of 8 to 9 inches. Measures: 1 1/4 inch high. Material: clear plastic.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",873704000603,In the Kitchen,"Adaptive Plates, Plate Guards and Bowls",Clear plate guard aids in scooping food onto utensils.,,873704000603,,,,,,,,,,,,,,,,,,,,,,,
AMI108,Arthro Thumbs Up Cup,http://www.wrightstuff.biz/arthupcup.html,13.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/arthupcup.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/arthupcup.jpg,,12,183,The Arthro Thumbs Up Cup is a lightweight and durable insulated plastic cup designed for people with limited strength or coordination. Finger joints can be used to their greatest mechanical advantage because of two backward tilt handles and thumb rests. Use with hot or cold liquids. Microwave safe and top-rack dishwasher safe. Cup holds 8 ounces of liquids. Plastic lid with spout included. Arthro Thumbs Up Cup Features: Two backward tilt handles and thumb rests. Lightweight and durable insulated plastic cup. Use with hot or cold liquids. Arthro Thumbs Up Cup Specifications: Cup holds 8 ounces of liquids. Plastic lid with spout included.,,instock,942,,,,,,1,"The Wright Stuff, Inc.",742645010043,In the Kitchen,"Cups, Glasses and Straws",Allows for finger joints to be used to their greatest mechanical advantage.,,742645010043,,,,,,,,,,,,,,,,,,,,,,,
AMI209,Autosqueeze Eye Drop Bottle Squeezer,http://www.wrightstuff.biz/aueyedrbosq.html,6.95,,http://feeds2.yourstorewizards.com/1931/images/250x1000/aueyedrbosq.jpg,http://feeds2.yourstorewizards.com/1931/images/100x500/aueyedrbosq.jpg,,12,183,"The Autosqueeze Eye Drop Bottle Squeezer makes squeezing eye drop bottles easier by providing extra leverage. Clips onto most eye drop bottles to aid in applying eye drops. Autosqueeze is ideal for people with weak or arthritic fingers. Remove cap from the eye drop bottle, slide the Autosqueeze around the neck of the bottle. Apply eye drops by gently squeezing Autosqueeze. Replace the cap on the eye drop bottle when done, without removing Autosqueeze. Autosqueeze Eye Drop Bottle Squeezer Features: Provides extra leverage. Ideal for people with weak or arthritic fingers. Autosqueeze Eye Drop Bottle Squeezer Specifications: Remove cap from bottle before sliding on autosqueeze.",,instock,942,,,,,,1,"The Wright Stuff, Inc.",742645013426,Getting Ready,Adaptive Grooming and Hygiene Aids,Provides extra leverage.,,742645013426,,,,,,,,,,,,,,,,,,,,,,,
