SKU,Name,UrlToProduct,Price,RetailPrice,UrlToImage,UrlToThumbnail,Commission,Category,SubCategory,Description,SearchTerms,Status,YourMerchantID,Custom1,Custom2,Custom3,Custom4,Custom5,StoreID,Manufacturer,PartNumber,MerchantCategory,MerchantSubcategory,ShortDescription,ISBN,UPC,CrossSell,MerchantGroup,MerchantSubgroup,CompatibleWith,CompareTo,QuantityDiscount,Bestseller,AddToCartURL,ReviewsRSSURL,Option1,Option2,Option3,Option4,Option5,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse,ReservedForFutureUse
AAD57001,Versa Crutch Pack,http://www.mobility-aids.com/versa-crutch-pack.html,21.95,,http://www.mobility-aids.com/assets/uploaded/crutch-pack.jpg,http://www.mobility-aids.com/assets/uploaded/crutch-pack.jpg,,12,183,"The <b>Versa Crutch Pack</b> attaches to either forearm crutches or standard-type crutches with Velcro-like hook and loop closures. The Crutch Pack has a roomy main zippered compartment large enough for a wallet, checkbook, comb/brush, medicine, etc. -- even an occasional sandwich. <br><br> It may also be attached to the side of some power chairs (hangs toward the front of the armrest, partially on the armrest and partially on the metal tubing by the knee) and to the tiller of some scooters (ones that have tubing on which to attach the pack). <br><br> Stabilizer straps on back of the Versa Crutch Pack prevents swinging. <br><br> Made of durable, weather resistant nylon packcloth.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Versa Crutch Pack Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Size:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">6"" x 9"" x 2.5""</FONT></TD>        </TR>                </TABLE>","versa crutch pack, bag, bags for crutches, pouch, pouches for crutches, crutch pack, bag, pouch, mobility aids, wheelchair, walker gear, accessories, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,Crutch Accessories,,Roomy main zippered compartment large enough for personal items.,,,,,,,,1~1~21.95,,,,,,,,,,,,,,,,,
AAD70003,Walker Grip Wraps,http://www.mobility-aids.com/walker-grip-wraps.html,14.95,,http://www.mobility-aids.com/assets/uploaded/walker-grip-wraps.jpg,http://www.mobility-aids.com/assets/uploaded/walker-grip-wraps.jpg,,12,183,"The <b>Walker Grip Wraps</b> are great covers for walker hand grips! Put these on, use them for awhile, and you'll wonder how you ever did without! <br><br> Soft, thick, sheepskin-like fleece, wraps around the walker hand grips, providing cushioning protection for hands; especially important for sensitive skin. Note: The fleece is made extra thick and plush -- you'll notice the difference right away. <br><br> The Walker Grip Wraps also have a special cotton lining with ""Grip Dots"" that help provide a sure grip by preventing the wraps from sliding. <br><br> May be machine washed and dried. <br><br> Made of 93% Polyester, 7% Acrylic Sheepskin-like Fleece, exclusive of trim; lining 100% cotton with Grip Dots<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Walker Grip Wraps Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Size:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">6.5"" x 6.5""</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Sold as:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">a pair.</FONT></TD>        </TR>                </TABLE>","walker grip cover, covers, walker grip wrap, wraps, covers for walker grips, mobility aids, wheelchair, walker, gear, accessories, products, supplies, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,Walker Accessories,,Extra thick fleece covered walker hand grip covers.,,,"CDCB5411,ADM1031",,,,,1~1~14.95,,,,,,,,,,,,,,,,,
AAD7100,Wheelchair Armrest Wraps,http://www.mobility-aids.com/wheelchair-armrest-wraps.html,17.95,,http://www.mobility-aids.com/assets/uploaded/wheelchair-fleece-armrest.jpg,http://www.mobility-aids.com/assets/uploaded/wheelchair-fleece-armrest.jpg,,12,183,"The <b>Wheelchair Armrest Wraps</b> are soft, thick sheepskin like fleece that wrap around the wheelchair armrests to provide cushioning and protection. These armrest covers are especially important for people with sensitive skin. You can easily attach the armrest wraps to the wheelchair armrests using Velcro-like hook and loop closures. <br><br> The armrest wrap fleece is made extra thick and plush to our specifications -- we think you'll really like it! <br><br> Please note: These armrest wraps fits standard width wheelchair armrests, and does not fit the extra wide platform type. <br><br> Made of 93% Polyester, 7% Acrylic. May be machine washed and dried. Available in two sizes: for full length (12 to 15 inches) or desk size (8 to 11 inches) armrests.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Wheelchair Armrest Wraps Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Full length:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">12 to 15 inch armrests</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Desk size:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">8 to 11 inch armrests</FONT></TD>        </TR>                </TABLE>","wheelchair armrest covers, wheelchair armrest wraps, cover, wrap for wheelchair armrest, arm rest, fleece, mobility aids, wheelchair, walker, gear, accessories, products, supplies, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,Wheelchair Accessories,Wheelchair Positioning Accessories,"Soft, thick sheepskin like fleece that wraps around the wheelchair armrests.",,,"MMI400,CDCB2113,CTC31155",,,,,1~1~17.95,,,,,,,,,,,,,,,,,
AAD71001,SideKick Wheelchair Pouch,http://www.mobility-aids.com/sidekick-wheelchair-pouch.html,16.95,,http://www.mobility-aids.com/assets/uploaded/Sidekick_blue.JPG,http://www.mobility-aids.com/assets/uploaded/Sidekick_blue.JPG,,12,183,"The <b>SideKick Wheelchair Pouch</b> can be attached to the wheelchair armrest or beneath the seat. Its main zippered compartment holds wallets, brushes and other small personal items. <br><br> Main zippered pocket holds wallet, brush/comb, etc. Ring type zipper pull is particularly helpful for those with limited hand dexterity. <br><br> Fleece lined pocket is ideal for eyeglasses, sunglasses or other small items. <br><br> Front bellowed pocket keeps other necessities close at hand. <br><br> The SideKick Wheelchair Pouch is designed to hang on the inside of manual wheelchair armrests or beneath the seat or it may be hung on the outside of most power chair armrests. Easily and securely attaches using Velcro-like hook and loop. (Note: if you're planning on hanging it to the inside of the armrest, keep in mind that you need a little room. If you're thinking of the SideKick for your scooter, the scooter has to have the metal bar-type handles.) <br><br> Made of durable, weather resistant packcloth and fleece.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>SideKick Wheelchair Pouch Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Pouch Size:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">12.25"" X 7""</FONT></TD>        </TR>                </TABLE>","sidekick wheelchair pouch, sidekick wheelchair bag, pack, packs, bags, pouch for wheelchair armrest, arm rest, mobility aids, wheelchair, walker, gear, accessories, products, supplies, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,Wheelchair Accessories,"Wheelchair Packs, Bags & Totes",Attaches to the wheelchair armrest or beneath the seat.,,,"ADM6402,AAD7100,CTC4131",,,,,1~1~16.95,,,,,,,,,,,,,,,,,
AAD71002,Privacy Cover :: Catheter Bag Cover,http://www.mobility-aids.com/privacy-cover-catheter-bag-cover.html,27.95,,http://www.mobility-aids.com/assets/uploaded/privacy-cover.jpg,http://www.mobility-aids.com/assets/uploaded/privacy-cover.jpg,,12,183,"The <b>Privacy Cover</b> attaches securely to back of wheelchair or onto bed rail using Velcro-like hook and loop closures to discreetly conceal a catheter bag. <br><br> Urinary drainage bag hangs inside the Privacy Cover on a polycarbonate support bar; Velcro-like hook and loop strap (inside the Privacy Cover) stabilizes the UD bag. <br><br> Front modesty panel may be kept open for monitoring urinary output or closed for privacy. <br><br> Extended zippered opening (around sides and bottom) allows the front of the Privacy Cover to be folded up and out of the way when emptying the UD bag; the Privacy Cover does not have to be removed to drain the UD bag. <br><br> Note: It's a good idea to remove the polycarbonate support bar before laundering. <br><br> Due to hygiene purposes, this item is non-returnable.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Privacy Cover :: Catheter Bag Cover Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Size:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">12.5 x 15.5 x .75 inches.</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Material:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">durable, weather resistant pack-cloth.</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Color:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">Blue or Black</FONT></TD>        </TR>                </TABLE>","catheter bag cover, conceal  catheter bag, wheelchair catheter bag cover, bedside catheter bag cover, mobility aids, wheelchair, walker, gear, accessories, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,Wheelchair Accessories,"Wheelchair Packs, Bags & Totes",Attaches securely to back of wheelchair or onto bed rail using Velcro-like hook and loop closures to discreetly conceal a catheter bag.,,,"CMI704171,AAD71012",,,,,1~1~27.95,,,,,,,,,,,,,,,,,
AAD71012,Jazz Wheelchair Backpack,http://www.mobility-aids.com/jazz-wheelchair-backpack.html,56.95,,http://www.mobility-aids.com/assets/uploaded/jazz-backpack-2.jpg,http://www.mobility-aids.com/assets/uploaded/jazz-backpack-2.jpg,,12,183,"The <b>Jazz Backpack</b> has a foam-lined back and semi-rigid top that helps hold its shape and structure, making the zippers easier to open and close. It is designed to hang on the back of wheelchairs using web straps that easily adjust to fit most wheelchair seat backs. (Use upper buckle placement for manual wheelchairs; criss cross straps at top and use lower buckles for scooters and power chairs with scooter-type upholstered seat backs.) <br><br> Front pocket is divided into two roomy compartments - sized to easily hold sport type water bottles. (You can actually get two 1-liter water bottles in each compartment!) Additional front pocket holds small items and has a reflective strip to help ensure visibility. Ring-type zipper pulls are particularly helpful for those with limited hand dexterity. <br><br> Small web loops at the back, bottom corners may be used to secure the Jazz Backpack to your chair if desired. Also has Velcro-like hook and loop strap at center back that may be used to secure the backpack to the bar of a sport type wheelchair.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Jazz Wheelchair Backpack Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Main Compartment:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">13.75 x 13.25 x 5.25 inches.</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Front Pocket:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">13.75 x 10.5 x 3.5 inches (has center divider).</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Material:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">durable, weather resistant pack-cloth.</FONT></TD>        </TR>                </TABLE>","jazz wheelchair backpack, jazz backpack, wheelchair backpack, wheel chair back pack, mobility aids, wheelchair, walker, gear, accessories, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,Wheelchair Accessories,"Wheelchair Packs, Bags & Totes",Large capacity wheelchair backpack has a place for just about everything.,,,"AAD71002,CMI70418",,,,,1~1~49.95,,,,,,,,,,,,,,,,,
AAI1007,Panoramic Rear View Mirror,http://www.mobility-aids.com/panoramic-rear-view-mirror.html,29.95,,http://www.mobility-aids.com/assets/uploaded/Panoramic-Rear-Vie-_Mirror-Packaging-2.jpg,http://www.mobility-aids.com/assets/uploaded/Panoramic-Rear-Vie-_Mirror-Packaging-2.jpg,,12,183,"A <b>Panoramic Rear View Mirror</b> can reduce your blind spots and make driving much safer. Big vehicles always have bigger mirrors, but now you can get the additional safety too. Easy to clip on over your existing mirror, you can be using it in minutes.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Panoramic Rear View Mirror Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Mounting:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">clips on over-top of your existing mirror.</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Measures:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">17 inches x 3 inches.</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Construction:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">convex anti-glare crystal glass.</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Safety:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">shatterproof glass.</FONT></TD>        </TR>                </TABLE>","panoramic mirror, car panoramic mirror, car rear view mirror, panoramic automobile mirror, panoramic rear view mirror, mobility aids, wheelchair, walker, gear, accessories, for the elderly, seniors, disabled, handicapped, physically impaired",instock,942,,,,,,4,"The Wright Stuff, Inc",,"Sitting, Standing and Transfer Aids",Car Transfer Aids,Widens your view to help reduce blind spots while driving.,,,"CMT96312,CAE400",,,,,1~1~24.95,,,,,,,,,,,,,,,,,
ACI10,AbleTripod® Walking Cane Base,http://www.mobility-aids.com/abletripod-walking-cane-base.html,21.95,,http://www.mobility-aids.com/assets/uploaded/baseonly.jpg,http://www.mobility-aids.com/assets/uploaded/baseonly.jpg,,12,183,"The ergonomically designed <b>AbleTripod® Base</b> weighs 8½ ounces and makes your walking cane self-standing, providing maximum stability and function to your cane. Composed of a durable, specially weighted rubber compound, great care was taken to control the right amount of flexibility, giving the base its remarkable performance.  <br><br> Stairs are now easily managed. Quad canes need to be turned sideways on stairs, making the user uncomfortable and in some cases fearful. The <b>AbleTripod®</b> gives the user confidence to negotiate even the narrowest steps. <br><br> The stress of impact on the user's hand is greatly reduced by the <b>AbleTripod® Base</b>, which flexes as you walk. The tips of the pods flex, grabbing while permitting the AbleTripod® to roll through, maintaining contact with the ground. The stability of the AbleTripod® base is not compromised whether on grass, gravel or sand , whereas typical canes may sink into the ground. <br><br> The <b>AbleTripod® Walking Cane Tip</b> can be used in ways that no other cane can: its unique design enables the user to lean into the cane, experiencing both support and balance. The ability to lateralize gives the user a unique feeling of confidence, knowing that the AbleTripod® is less likely to slip out than quad canes. <br><br> The patented <b>AbleTripod® Base</b> easily replaces your walking cane tip, addressing all of these issues and more. <br><br> The base comes in 4 standard-size openings: 5/8"", 3/4"", 7/8"", 1"" and 11/16"" <br><br> <b>**See Diagram above for proper fit.**</b> <!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>AbleTripod® Walking Cane Base Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>4 standard-size openings:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">5/8"", 3/4"", 7/8"", 1"" and 11/16""</FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Weight</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">8 1/2 ounces</FONT></TD>        </TR>                </TABLE>","AbleTripod®, AbleTripod base, walking cane tip, tip replacement for walking cane, able tripod, mobility aids, cane accessories, products, supplies, for the elderly, seniors, disabled, handicapped, physically impaired, cane base",instock,942,,,,,,4,"The Wright Stuff, Inc",,Canes & Cane Accessories,,"Makes your walking cane self-standing, provides maximum stability and function to your cane.",,,"ADM1366,ADLPL36",,,,,1~1~21.95,,,,,,,,,,,,,,,,,
ADM1031,Penco Walker Glides,http://www.mobility-aids.com/penco-walker-glides.html,19.95,,http://www.mobility-aids.com/assets/uploaded/pencowalkerglides1.jpg,http://www.mobility-aids.com/assets/uploaded/pencowalkerglides1.jpg,,12,183,"The ski design of the <b>Penco Walker Glides</b> allows for easy movement over thresholds and slight elevation changes without snagging or the need to lift the walker. Penco Walker Glides are designed to fit front-wheeled walkers with 1 inch to 1 1/8 inch tubing diameter. Penco Walker Glides feature a patented, self-fitting mechanism for easy installation. Made of durable, high density resin for use on all walking surfaces.  The self-fitting mechanism and stainless steel tightening bolt keep the glides safe and secure. Manufactured in the United States.<!-- product-specs.html starts -->        <P STYLE=""margin-left: 5px; margin-right: 30px""><FONT FACE=""Verdana, Arial, Helvetica, sans-serif"">                <h4>Penco Walker Glides Specifications:</h4>        </FONT>        </P>        <TABLE CELLSPACING=""2"" CELLPADDING=""2"" BORDER=""0"">                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Fits:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">front-wheeled walkers with 1 inch to 1 1/8 inch tubing diameter. </FONT></TD>        </TR>                <TR VALIGN=""TOP"">                <TD><IMG WIDTH=""14"" src=""/assets/uploaded/spacer.gif"" HEIGHT=""12"" BORDER=""0""></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2""><B>Construction:</B></FONT></TD>                <TD><FONT FACE=""Arial, Helvetica, sans-serif"" SIZE=""2"">durable, plastic material.</FONT></TD>        </TR>                </TABLE>","walker skis, tips, walker glides, glide, walker ski, ball, balls, walker glide, skis for walkers, mobility, elderly, seniors, physically impaired, handicapped, disabled",instock,942,,,,,,4,"The Wright Stuff, Inc",,Walker Accessories,"Walker Balls, Slides & Glides",Helps you glide your walker across most floor surfaces.,,,"AMI703205,CFP181,CDCB5412",,,,,1~1~16.95,,,,,,,,,,,,,,,,,
ADM1068,Universal Carry-All Pouch with Pockets,http://www.mobility-aids.com/universal-carry-all-pouch-with-pockets.html,19.95,,http://www.mobility-aids.com/assets/images/products/ADM1068Walker-Pouch-W.jpg,http://www.mobility-aids.com/assets/images/products/adm1068walker-pouch-w_thumbnail.jpg,,12,183,"<p>The <b>Universal Carry-All Pouch with Pockets</b> features multiple handy storage compartments. Washable navy denim fabric. Hook and loop closures secures bag to walker, wheelchair or bedrail. Bottom ties prevent bag from swinging when used as a walker bag. Large front opening pocket with 3 smaller attached pockets. Reinforced bottom and sides. <br><br> Carry-All Pouch measures 9 1/2 x 13 inches x 1 inch wide overall. Large front opening pocket measures 8 x 13 inches. Three attached front pockets: one large pocket measures 6 x 6 inches, two smaller pockets measure 2 1/2 x 6 inches.</p> <h4>Carry-All Pouch with Pockets Specifications:</h4> <ul> <li>Overall measurements: 9 1/2 x 13 x 1 inch.</li> <li>Large front pocket measures: 8 x 13 inches.</li> <li>One large pocket measures: 6 x 6 inches.</li> <li>Two smaller pockets measure: 2 1/2 x 6 inches.</li></ul>","universal carry-all pouch with pockets, walker bag, walker pouch, pouch with pockets, wheelchair bag, wheel chair bag, wheel chair accessories,wheelchair backpack, walker accessories, wheel chair pouch, mobility, elderly, seniors, physically impaired, handicapped, disabled",instock,942,,,,,,4,"The Wright Stuff, Inc",,Wheelchair Accessories,"Wheelchair Packs, Bags & Totes",Multiple handy storage compartments.,,,"AMI70317,CD,CFP181",,,,,1~1~19.95,,,,,,,,,,,,,,,,,
